BibTeX_Key,Reference_Number,Authors,Title,Year,Bibliographic_Details,DOI,DOI_URL,Traceability_Group,Group_Label,Traceability_Cluster,Cluster_Label
r156,156,K. Hashimoto and S. Katsumata and E. Postlethwaite and T. Prest and B. Westerbaan,A Concrete Treatment of Efficient Continuous Group Key Agreement via Multi-Recipient PKEs - Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security,2021,"Association for Computing Machinery, pp. 1441--1462",10.1145/3460120.3484817,https://doi.org/10.1145/3460120.3484817,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r157,157,Y. Schwartz and L. Ben-Shimol and D. Mimran and Y. Elovici and A. Shabtai,LLMCloudHunter: Harnessing LLMs for Automated Extraction of Detection Rules from Cloud-Based CTI - Proceedings of the ACM on Web Conference 2025,2025,"Association for Computing Machinery, pp. 1922--1941",10.1145/3696410.3714798,https://doi.org/10.1145/3696410.3714798,G3,Interoperability,I3,Actionable detection and response formats
r158,158,S.-S. Chen and R.-H. Hwang and A. Ali and Y.-D. Lin and Y.-C. Wei and T.-W. Pai,Improving quality of indicators of compromise using STIX graphs,2024,"Computers & Security, vol. 144, pp. 103972",\url{https://doi.org/10.1016/j.cose.2024.103972.},https://doi.org/\url{https://doi.org/10.1016/j.cose.2024.103972.},G2,Technical artifacts,T2,Operational sharing and dissemination
r159,159,H. Suryotrisongko and Y. Musashi and A. Tsuneda and K. Sugitani,Robust Botnet DGA Detection: Blending XAI and OSINT for Cyber Threat Intelligence Sharing,2022,"IEEE Access, vol. 10, pp. 34613 - 34624",10.1109/ACCESS.2022.3162588,https://doi.org/10.1109/ACCESS.2022.3162588,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r160,160,D. Skias and S. Tsekeridou and T. Zahariadis and A. Voulkidis and T.-H. Velivassaki and K. Fotiadou,"Pan-European Cybersecurity Incidents Information Sharing Platform to support NIS Directive - Proceedings of the 16th International Conference on Availability, Reliability and Security",2021,Association for Computing Machinery,10.1145/3465481.3470477,https://doi.org/10.1145/3465481.3470477,G2,Technical artifacts,T2,Operational sharing and dissemination
r161,161,J. Rajamaki and A. Feyesa and A. Nepal,"E-EWS-based Governance Framework for Sharing Cyber Threat Intelligence in the Energy Sector - PROCEEDINGS OF THE 23RD EUROPEAN CONFERENCE ON CYBER WARFARE AND SECURITY, ECCWS 2024",2024,"vol. 23, pp. 398-406",,,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r162,162,D. Skias and S. Tsekeridou and T. Zahariadis and A. Voulkidis and T.-H. Velivassaki,"Demonstration of alignment of the Pan-European Cybersecurity Incidents Information Sharing Platform to Cybersecurity policy, regulatory and legislative advancements - Proceedings of the 17th International Conference on Availability, Reliability and Security",2022,Association for Computing Machinery,10.1145/3538969.3544477,https://doi.org/10.1145/3538969.3544477,G2,Technical artifacts,T2,Operational sharing and dissemination
r163,163,K. Henttonen and J. Rajamaki,"CTI Sharing Practices and MISP Adoption in Finland's Critical Infrastructure Protection - PROCEEDINGS OF THE 23RD EUROPEAN CONFERENCE ON CYBER WARFARE AND SECURITY, ECCWS 2024",2024,"vol. 23, pp. 197-204",,,G2,Technical artifacts,T6,Operational consumption and integration
r164,164,J. Rajamäki and A. Nepal and I. Chalkias,Enhancing Cyber Threat Intelligence (CTI) Exchange: A Governance Model for the DYNAMO Platform,2025,"European Conference on Information Warfare and Security, ECCWS, pp. 547 - 555, \url{https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014910430&partnerID=40&md5=1771e664d7e2969226938014ac7c6d38.}",,,G1,Conceptual artifacts,C1,Governance and ecosystem coordination
r165,165,M. Arazzi and D. R. Arikkat and M. Cihangiroglu and K. M. Sameera,A Privacy-Preserving Byzantine-Aware Swarm Learning Framework for CTI,2024,"Institute of Electrical and Electronics Engineers Inc., pp. 171 - 177",10.1109/ACSACW65225.2024.00025,https://doi.org/10.1109/ACSACW65225.2024.00025,G2,Technical artifacts,T2,Operational sharing and dissemination
r166,166,M. Karatisoglou and A. Farao and V. Bolgouras and C. K. Xenakis,BRIDGE: BRIDGing the gap between CTI production and consumption,2022,Institute of Electrical and Electronics Engineers Inc,10.1109/COMM54429.2022.9817359,https://doi.org/10.1109/COMM54429.2022.9817359,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r167,167,J. Fang and Y. Tang and M. Guo,Comprehensive Review of Cyber Threat Intelligence Sharing: Challenges and Methodologies - Proceedings of the 4th Asia-Pacific Artificial Intelligence and Big Data Forum,2025,"Association for Computing Machinery, pp. 455--461, \url{https://doi.org/10.1145/3718491.3718565.}",,,G2,Technical artifacts,T7,Technical protection controls in sharing
r168,168,W. Khalid and N. Ahmed and Y. Javed and A. Alam and M. Arshad,Cyber-Threat-Intelligence: Detection of Selective Packet Drops and Fake Packet Attacks in Opportunistic Networks (DOSFAN) - Proceedings of the 2024 8th International Conference on Information System and Data Mining,2024,"Association for Computing Machinery, pp. 50--56",10.1145/3686397.3686406,https://doi.org/10.1145/3686397.3686406,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r169,169,M. Motlhabi and P. Pantsi and B. Mangoale and R. Netshiya and S. Chishiri,Context-Aware Cyber Threat Intelligence Exchange Platform - PROCEEDINGS OF THE 17TH INTERNATIONAL CONFERENCE ON CYBER WARFARE AND SECURITY (ICCWS 2022),2022,pp. 201-210,,,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r170,170,M. Ma and T. Zhu and S. Li and T. Chen and M. Lv and Z. Weng and others,Actminer: Applying causality tracking and increment aligning for graph-based threat hunting,2025,"Knowledge-Based Systems, vol. 327, pp. 114169",\url{https://doi.org/10.1016/j.knosys.2025.114169.},https://doi.org/\url{https://doi.org/10.1016/j.knosys.2025.114169.},G2,Technical artifacts,T6,Operational consumption and integration
r171,171,M. N. E. Saulaiman and M. Kozlovszky and Á. Csilling,Exploring the Intersection between STIX Framework and TARA for Sharing Cyber Threat Intelligence for Automotive Systems,2025,"Institute of Electrical and Electronics Engineers Inc., pp. 205 - 211",10.1109/INES67149.2025.11078029,https://doi.org/10.1109/INES67149.2025.11078029,G3,Interoperability,I1,Standardized CTI models and formats
r172,172,C. P. Li and Q. Zhang and X. D. Bian and S. X. Zhang,Status Quo and Prospects of Automotive Cyber Threat Intelligence - Proceedings of the 2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning,2024,"Association for Computing Machinery, pp. 214--219",10.1145/3616901.3616949,https://doi.org/10.1145/3616901.3616949,G1,Conceptual artifacts,C5,Sectoral and compliance-oriented models and architectures
